index,year,model,doors
511,2012,Nissan Lafesta,5
593,2015,Vauxhall Astra,5
677,2007,BMW 3 Series,4
697,2001,Mitsubishi FTO,2
821,2012,Volkswagen Polo,5
833,2021,Toyota Mark X,4
854,2007,Nissan Cubic,5
955,2017,Nissan Elgrand,5
1036,2013,Honda Jazz,5
1056,2011,Volkswagen Polo,5
1302,2015,Mazda Mazda6,4
1531,2015,Citroen C1,3
1611,2001,Volkswagen Golf,5
1617,2007,Ford KA,3
1955,2011,Jaguar XJ,4
2020,2012,Audi A3,5
2134,2012,Toyota Prius,5
2373,1981,Marcos Martina,2
2510,2003,Mitsubishi GTO,2
2521,2015,Fiat 500L,5
2717,2014,Vauxhall Astra GTC,3
2760,2010,Honda FIT,5
